"Alimentos predominantemente de cereais, exceto para uso medicinal, terapêuticoou dietético,30";
Alizar de janela de madeira,19;
Aljava,13;
Almécega [condimento],30;
Almécega [resina natural em bruto],2;
Almofada absorvente para alimentos,16;
Almofada não elétrica sem fim terapêutico,20;
Almofada adaptada para cadeira de rodas,12;
Almofada para massagem terapêutica,10;
Almofada para muleta,10;
Almofada para uso terapêutico,10;
Almofadas plásticas de ar para proteção de mercadorias em embalagens,20;
Almôndega,29;
Almotolia [lubrificação],8;
Almotolia [vasinho de argila],21;
Aloé [resina natural],2;
Aloetina [insumo farmacêutico],1;
Aloetina [resina natural],2;
Alojamento de madeira para animal,20;
Alojamento de metal para animal,6;
Alojamento para animais para uso exclusivo em laboratório,9;
Alojamento portátil não metálico para animais, exceto gaiolas ou jaulas,20;
Alpaca [liga metálica],6;
Alpaca [tecido],24;
Alpiste,31;
Alquilbenzeno,1;
Alquilnaftaleno,1;
Altar [tipo de móvel],20;
Alto-falante para automóvel,9;
Aluminato,1;
Alva [veste litúrgica],25;
Alvião [ferramenta],8;
Alvo [material bélico para testes militares],13;
Amassadeira elétrica,7;
Amassadeira não elétrica,21;
Ameixa [produto fresco],31;
Amendoim doce,30;
Ametista,14;
Amidalina [insumo farmacêutico],1;
Amidas,1;
Amideto de sódio,1;
Amidinas,1;
Amido em bruto para uso industrial,1;
Aminas,1;
Aminoácido para tratamento de desnutrição ou deficiência proteica,5;
Aminoácidos para uso industrial,1;
Aminoálcoois,1;
Aminoaldeídos,1;
Aminofenóis,1;
Aminonaftóis,1;
Aminoplásticos,1;
Amônia [amoníaco] para uso industrial,1;
Amônia diluída para limpeza,3;
Amortecedor aeroespacial,12;
Amortecedor de massa sintonizado para estruturas em construção civil,19;
Amortecedor de impacto industrial, a gás,7;
Amortecedor de impacto industrial, hidráulico,7;
Amortecedor de impacto industrial, pneumático,7;
Amortecedor de vidraça de veículo,12;
Amortecedor isolador de ruído e de vibração [parte de máquina],7;
Amortecedor para assento sanitário,11;
Amortecedor para máquina,7;
Amortecedor para porta [ferragem],6;
Amplificador de som para automóvel,9;
Anabolizante,5;
Analisador [aparelho],9;
Analisador de motor de combustão,9;
Ancorote de madeira [pequeno barril],20;
Anel de escora em metal,6;
Anel de lubrificação [parte de motor],7;
Anel de papel e papelão para charuto,16;
Anel de pistão [parte de máquina],7;
Anel de segmento [parte de máquina],7;
Anel de segmento [parte de motor de veículo],7;
Anel metálico [ferragem],6;
Anel ou aro de borracha para vedação,17;
Anel para prensa de filtrar [parte de máquina],7;
Anel raspador de óleo [parte de motores],7;
Anidrido sulfuroso para alimentos [dióxido de enxofre],1;
Anilha metálica para aves,6;
Antitussígeno [medicamento],5;
Anticoncepcional para animal,5;
Anticorpos,5;
Antiderrapantes de borracha usados em móveis,17;
Antiderrapantes de silicone usados em mesas de tampo de vidro,17;
Antiespumante de uso industrial,1;
Antiespumante de uso industrial à base de óleo mineral,1;
Antiespumante de uso industrial à base de óleo vegetal,1;
Antiespumante de uso industrial com silicone,1;
Antifúngico [medicamento],5;
Antifúngico para plantas,5;
Antígeno,5;
"Antimofo com fragrância [desumidificador à base de cloreto de cálcio para usodoméstico],3";
Antimofo [desumidificador à base de cloreto de cálcio para uso doméstico],3;
Antioxidantes para alimentos,1;
Anuário [publicação impressa],16;
Anúncio luminoso de néon,9;
Apanhador de fruta [colhedor manual],8;
Apara de cedro aromático para repelir traça e outros insetos,5;
Apara de metal,6;
Apara de papel,16;
